NÚM. ORGANIZACIÓN;COOPERATIVA  (COLUMNA 1);TELÉFONO  (COLUMNA 6);DIRECCIÓN POSTAL  (COLUMNA 7);DIRECCIÓN FÍSICA  (COLUMNA 8);Oficial Banca Electrónica  (COLUMNA 21)
633;Dr. Manuel Zeno Gandía;787-878-3675 ;PO Box 1865 Arecibo, PR 00613-1865;Carr. 653 KM.1 Centro Comercial Villa Los Santos Arecibo, Puerto Rico  00612;amarilis.perez@zenogandia.coop
642;Nuestra Coop;787-725-8811;PO Box 9061 San Juan, PR 00908-0061;670 Ave. Ponce de León Local 109 San Juan PR 00908;sramos@coopaee.com
620;Empleados del Centro Médico de P.R.;787-282-7996 787-767-3900;PMB #34 P.O. Box 70344 San Juan PR 00936-8344;Plazoleta Central Centro Medico PR, Bo. Monacillos San Juan 00922;coopaccm@gmail.com
627;Familiar Progresista;787-783-8760 ;479 Ave. De Diego Urb. Puerto Nuevo San Juan, PR 00920;Ave. De Diego Esquina Campeche Núm. 479 Puerto Nuevo PR 00920;"gtorres@familiarcoop.com; emontes@familiarcoop.com"
678;Florida;787-822-2630;PO Box 1162 Florida, PR 00650-1162;Calle Teodoro Morales #5 Florida, Puerto Rico 00650;nterron@floridacoop.com
616;GEREN-COOP;787-722-0303;1200 Ave. Ponce de León San Juan, PR 00907-3918;1200 Ave. Ponce de León San Juan, PR 00907-3918;aramos@gerencoop.com
676;Hatillo;787-898-3260;PO Box 95  Hatillo, PR 00659-0095;Calle Pablo Aguilar #76 Edificio Gregorio Padilla Hatillo, Puerto Rico 00959;rsalgado@haticoop.com
656;Hermanos Unidos;787-756-6161;PO Box 195245  San Juan, PR 00919-5245;229 Calle Duarte San Juan, PR 00917;dgarcia@cachupr.com
651;BIOPHARMA-COOP;787-701-5555;Urb. Villa Carolina C-9 Ave. Roberto Clemente Carolina, PR 00985;Urb. Villa Carolina C-9 Ave. Roberto Clemente Carolina, PR 00985;"rrosario@biopharma.coop; mjuan@biopharma.coop"
692;Isabela;787-872-2265;PO Box 552 Isabela, PR 00662-0552;"Edificio Ramón "" Junior"" Montalvo Acevedo Calle Barbosa #21 Suite 1 Isabela P.R. 00662";contabilidad@isabelacoop.com
646;Jayuya;787-828-4405 / 4410/ 4440;PO Box 338 Jayuya, PR 00664-0338;102 Calle Guillermo Esteves Jayuya,PR 00664;crodriguez@jayucoop.net
690;Jesús Obrero ;787-720-6209;PMB 159 HC-01 Box 29030 Caguas, PR 00725-8900;Carr. #1 KM. 23.6 Bo. Ríos Guaynabo, Puerto Rico00971;yamaris@jesusobrero.coop
679;Juana Díaz;787-837-2575 /3265;PO Box 1439 Juana Díaz, PR 00795-1439;Calle Comercio #113  Esq. Hostos Juana Díaz, Puerto Rico 00795;cdejesus@coopjuanadiaz.com
644;La Comerieña;787-875-2540;P.O. Box 289 Comerio PR 00782;Bo. Piñas Abajo 9 Carr. 775 Comerio PR 00782;jbermudez@lacomeriena.coop
611;La Puertorriqueña;787-765-1490;PO Box 20645 San Juan, PR 00928-0645;Ave. Jesús T. Piñero 1773 San Juan P.R. 00921;dcedeno@lapuertorriquena.com
631;La Regla de Oro;787-799-3612;RR-05 BOX 8755 Física: Carretera 167 Km. 15.7 Buena Vista Bayamón, PR 00956;Carr. 167 Km. 15.2 Buena Vista Bayamón, PR 00956;mperez@regladeoro.coop
622;La Sagrada Familia;787-859-2650;PO Box 102  Corozal, PR 00783;Calle Bou #38 Corozal, Puerto Rico 00783;rnegron@sagradacoop.com
641;Lajas;787-899-1120 / 1121;47 Sur Calle 65 de Infanteria Suite 1 Lajas PR. 00667-2350;47 Sur Calle 65 de Infanteria Suite 1 Lajas PR. 00667-2350;catiles@lajascoop.com
614;Lares y Región Central;787-897-2255;PO Box 362 Lares, PR 00669;Carr. 111 Km. 35 Ave. Los Patriotas Lares PR 00669;mtomassini@larcoop.com
609;Las Piedras;787-733-2821;PO Box 414  Las Piedras, PR 00771-0414;Calle José Celso Barbósa Final Las Piedras, Puerto Rico 00771;jlebron@cooplaspiedras.com
602;Lomas Verdes;787-787-6292;PO Box 1142 Bayamón, PR 00960-1142;Ave Nogal 3B 20 Urb. Lomas Verdes Bayamón PR;gmolina@lomasverdes.com
648;Manatí;787-854-2214;PO Box 30562 Manatí, PR 00674;68 Paseo de las Atenas Manatí, PR 00674;f.rivera@coopmanati.net
649;MAUNA-COOP;787-861-2240;PO Box 127 Maunabo, PR 00707-0127;Calle Calimano 550 Carr. 901 Maunabo, Puerto Rico 00707;mserrano@maunacooppr.com
672;Mayagüez;787-832-6555;PO Box 416 Mayagüez, PR 00681-0416;Calle Dr. Basora Esq. Santiago Palmer 52 Mayagüez PR 00680;"jvargas@coopmayaguez.com; vmorales@coopmayaguez.com"
650;MEDI-COOP;787-763-8611 ;PO Box 194450  San Juan, PR 00919-4450;Urb. Belisa Calle Bori 1512 Rio Piedras PR. 00926;sdavila@medicooponline.com
615;Moca;787-877-2730;PO Box 18553 Moca, PR 00676;Calle Galazan Lasalle Esq. 111 Intersección Estatal #1 Moca, Puerto Rico 00676;rprosper@coopmoca.com
635;Moroveña;787-862-7440;PO Box 577 Morovis, PR 00687-0577;Ave. Buena Vista Carr. 155 Km. 48.1 Morovis, Puerto Rico 00687;jnegron@coopmorovena.com
665;Naguabeña;787-874-2185;PO Box 69 Naguabo, PR 00718-0069;Urb. Mendoza Núm. B-1 Naguabo, Puerto Rico 00718;yhernandez@nagucoop.com
606;Candel Coop;787-854-1620;PO Box 3249 Manatí, PR 00674;Carr 6685 Cruce Carr #2 Bo. California Manatí PR 00674;"edp@candelcoop.coop; mmartinez@candelcoop.coop"
626;Custo Coop;787-751-7480 / 7888;Urb. Reparto Metropolitano Calle 54 SE 1100 San Juan, PR 00921-2731;Urb. Reparto Metropolitano Calle 54 SE 1100 San Juan, PR 00921-2731;lpacheco@custo-coop.com
607;Oriental;787-852-0964;PO Box 876 Humacao, PR 00792-0876;Carr #3 Calle Marginal Urb. Buso Humacao PR 00792;nleon@cooporiental.com
621;Puerto Rico Federal Credit Union ;787-749-0500;P.O. Box 12011 San Juan PR 00922;55 Calle Resolución Esq Ave Roosevelt San Juan, 00920;oleon@prfedcu.com
612;Padre Mac Donald;787-840-8382;PO Box 7022 Ponce, PR 00732-7022;Urb Mariani 1569 Ave. Muñoz Rivera Ponce PR 00717;lrodriguez@padremacdonald.com
624;Padre Salvador Ruffolo (PARROCOOP);787-847-2660;PO Box 1553 Villalba, PR 00766-1553;Bo. Jagueyes Carr. 149 Km. 59.4 Villalba PR 00766;lcruz@parrocoop.coop
628;Pepiniana;787-896-1544/787-896-1590;PO Box 572  San Sebastián, PR 00685-0572;Carr. 111 Km 17.9 San Sebastian PR 00685;"ygomez@cooppepiniana.com;"
693;Primera Cooperativa;787-764-6955;RR 37 Box 1835 San Juan PR 00926-9729;Ave Ana G. Méndez Carr. 176 km 1.1 San Juan PR 00926;lcintron@primeracoop.com
682;Rincón;787-823-1515;PO Box 608 Rincón, PR 00677-0608;Calle Cambija #5 Rincón, Puerto Rico 00677;amoreno@cooprincon.com
688;Roosevelt Roads;787-863-3045;PO Box 31 Fajardo, PR 00738-0031;Carr. #3 KM. 44.1 Fajardo, Puerto Rico 00738;felicia@cooprr.com
680;San Blas de Illescas;787-825-1400;PO Box 319 Coamo, PR 00769;Calle José I. Quintón #60 Coamo, Puerto Rico 00769;a.rodriguez@coopsanblas.net
604;San José;787-735-7474;PO Box 2020  Aibonito, PR 00705;Calle Degetau 106 Sur Aibonito, Puerto Rico 00705;vvargas@coopsanjose.com 
689;San Miguel;787-869-2180 787-869-8795;PO Box 925  Naranjito, PR 00719-0925;Calle Georgetti #77 Naranjito, Puerto Rico 00719;arivera@sanmiguelcoop.com
630;San Rafael;787-895-2510 ;PO Box 1531 Quebradillas, PR 00678-1531;Calle Rafael Rodríguez Cañal Urb. Ávila #1 Quebradillas, Puerto Rico 00678;"crivera@sanrafael.coop; rgimbernard@sanrafael.coop"
681;Santa Isabel (CACSI);787-845-0005;PO Box 812 Santa Isabel PR 00757;Felicia II Carr 153 Esq. Expreso 52 Santa Isabel PR 00757;epimentel@cacsi.coop
652;Gura-Coop;787-737-3501;PO Box 678 Gurabo, PR 00778-0678;Calle San José #54 Gurabo, Puerto Rico 00778;jramos@gura.coop
697;ELECTRO-COOP;787-725-3333/ 787-725-3347;605 Condominio San Alberto Avenida Condado Suite 307 San Juan, PR 00907-3811;Ave. Condado 605 Cond. San Alberto Suite 307 San Juan PR 00907;"electrocoop@gmail.com;"
660;Universal-Coop;787-887-2195/2655/2660;P.O. Box 937 Rio Grande PR 00745;14 Pimentel Rio Grande PR 00745;orobles@universalcoopfcu.com
654;VALENCOOP;787-734-5291;PO Box 1510 Juncos, PR 00777-1510;Carr. 31 KM. 24.8 Bo. Ceiba Norte Juncos, Puerto Rico 00777;zventura@valencoop.com
662;VEGACOOP;787-883-4360;PO Box 1078 Vega Alta, PR 00692-1078;Calle Georgetti #61 Vega Alta, Puerto Rico 00692;joquendo@vegacoop.com
669;Vegabajeña;787-855-3442;PO Box 4622  Vega Baja, PR 00694-4622;Calle Baldorioty Final Vega Baja, Puerto Rico 00694;"mcalderon@vbcoop.com; efontan@vbcoop.com"
696;Veteran Adm. PR Credit Union;"787-773-7600; 787-764-3751";P.O.Box 33017 San Juan, PR 00933;2400 Carr. 177 Guaynabo, PR 00969;vnazario@vaprfcu.com
629;Yabucoop;787-893-2820;PO Box 1  Yabucoa, PR 00767-0001;Urb. Villa El Recreo Calle Ramon Quiñones 1 Yabucoa PR 00767;nrodriguez@yabucoena.com
655;Yauco;787-856-1820;PO Box 3010  Yauco, PR 00698-3010;500 Carr. 128 Yauco,  PR 00698;elopez@yaucoop.net
694;Federación de Maestros de Puerto Rico (Fede-Coop);787-620-2667;P.O. Box 270-022 San Juan P.R. 00928;Ave de Diego 4c Urb. Ext. Caribe, San Juan PR 00928;contabilidad@fedecoop.com
